Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler
"Bjørnsons gate 58, 2003 Lillestrøm",3400000,136,96992,3497128,2950,Leilighet,Eier (Selveier),2,65 m²,67 m²,2,1952,,3-roms renoveringsobjekt på Volla. Leiligheten disponerer loftet over denne seksjonen. Garasje og kjellerboder.,Proaktiv Eiendomsmegling Lørenskog
"Nordalsvegen 3, 7540 Klæbu",3750000,2466,0,3750000,0,Leilighet,Eier (Selveier),2,75 m²,80 m²,3,2017,C - mørkegrønn,Romslig 3-romsleilighet fra 2017 midt i Klæbu sentrum. TG0 på alle punkter. Vestvendt veranda. Heis. Parkeringskjeller.,Proaktiv Eiendomsmegling avd. Heimdal
"Ole Aasveds veg 6, 7049 Trondheim",2050000,487500,12926,2550426,7956,Leilighet,Andel,2,60 m²,60 m²,1,2004,D - rød,"Lys og tiltalende 2-roms pluss 1-roms hybel med mulighet for leieinntekt. Markterrasse - Nært NTNU, metrobuss og marka.",Proaktiv Eiendomsmegling avd. Moholt
"Breistølen 37, 5034 Bergen",5750000,151992,5901992,1750,14887,Leilighet,Eier (Selveier),4,101 m²,101 m²,1,1961,G - oransje,"Sandviken | Praktfull halvpart av tomannsbolig med utsøkte kvaliteter, fantastisk utsikt og solrike uteplasser.",Proaktiv Sandviken
"Michael Krohns gate 49, 5057 Bergen",4290000,115492,4405492,2139,11930,Leilighet,Eier (Selveier),2,66 m²,69 m²,6,2014,C - mørkegrønn,"Nydelig leilighet med to soverom, høy standard, balkong med ettermiddagssol og heis i bygget. Attraktiv beliggenhet!",Proaktiv Sandviken
"Storestraumen 299, 5212 Søfteland",3090000,85492,3175492,1774,7701,Leilighet,Eier (Selveier),2,64 m²,65 m²,2,2021,C - mørkegrønn,"Praktfull, påkostet leilighet fra 2021 med gode solforhold, to soverom og parkering med el-bil lader",Proaktiv Sandviken
"Vognstølen 16A, 5096 Bergen",1750000,519810,5432,2275242,4724,Leilighet,Andel,47 m²,50 m²,1,1938,2,,Flott leilighet på Landås - perfekt førstegangskjøp! Egen terrasse med sol!,Proaktiv Sandviken
"Steinsvikvegen 2, 5251 Søreidgrend",4990000,136746,5126746,2068,16557,Leilighet,Eier (Selveier),3,87 m²,90 m²,3,2019,B - rød,"Nytt, eksklusivt og deilig, med stor takterrasse og garasje med heis til leiligheten.",Proaktiv Småstrandgaten
"Michael Krohns gate 38, 5057 Bergen",3200000,5432,3205432,3076,0,Leilighet,Andel,2,65 m²,65 m²,3,1936,G - rød,"Sentralt beliggende 3-roms leilighet. Perfekt for studenter. Gangavstand til BI, UiB og sentrum. Ingen fellesgjeld!",Proaktiv Småstrandgaten
"Strandgaten 210, 5004 Bergen",2890000,58329,18781,2967110,2750,Leilighet,Aksje,1,38 m²,38 m²,4,1960,E - rød,"Det er langt bedre å eie enn å leie! Optimal planløsning, balkong med mye sol. Heis i bygget og ingen dok. avgift.",Proaktiv Småstrandgaten
