Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler
"Flaenveien 8C, 0953 Oslo",3350000,80000,15554,3445554,3992,Leilighet,Andel,1,58 m²,58 m²,3,1947,E - rød,Attraktiv 2-roms leil. i et populært borettslag - Kjøkken fra 2015 - Sentralt - Nær marka - Perfekt førstegangs kjøp!,
"Hjelmelandsgata 4, 4012 Stavanger",2800000,78570,2878570,8925,0,Leilighet,Eier (Selveier),2,81 m²,86 m²,1915.0,G - rød,,Tiltalende 3-roms leilighet etablert i 2010 med gjennomgående god standard. Sentral beliggenhet.,
"Borgestadholmen 28, 3712 Skien",1500000,1128356,7860,2636216,9841,Leilighet,Andel,2,71 m²,71 m²,2008.0,D - rød,,"Solrik og moderne 3-roms leilighet rett ved elva! 2 soverom, store boder og garasjeplass i lukket anlegg med heis.",
"Baggerstun 1, 3717 Skien",2290000,68620,2358620,2547,6021,Leilighet,Eier (Selveier),1,57 m²,60 m²,1.0,1991,F - rød,Pent oppusset selveierleilighet med solrik veranda. Heis og garasjeplass.,
"Tordenskjolds gate 81, 4614 Kristiansand S",2100000,602671,2702671,4897,0,Leilighet,Andel,1,42 m²,42 m²,8.0,1963,,Nyere oppusset 2-roms toppleilighet med solrik balkong samt fantastisk utsikt mot Otra - Meget sentralt,
"Colletts gate 54, 0456 Oslo",2800000,39000,1132,2840132,1436,Leilighet,Andel,0,24 m²,24 m²,2.0,1920,D - rød,"Attraktiv, svært rolig studioleilighet i grønne omgivelser. 2,91 meter takhøyde og stort flott vindu. Lave felleskost.",
"Tollbugata 10B, 6002 Ålesund",2550000,75322,2625322,2715,0,Leilighet,Eier (Selveier),2,59 m²,65 m²,3.0,1907,G - mørkegrønn,"Sentrum - Leilighet med fin standard, 2 soverom, heis og meget sentral beliggenhet.",
"Henrik Wergelands gate 76A, 4614 Kristiansand S",2390000,68192,2458192,1312,0,Leilighet,Eier (Selveier),2,46 m²,46 m²,2.0,1900,,NYHET - VISN 28/6 | Lys og trivelig 3-roms selveier | Attraktiv og sentral beliggenhet i Posebyen | Bad renovert 2016,
"Staudevegen 14C, 2615 Lillehammer",2750000,1132,2751132,2803,0,Leilighet,Andel,2,68 m²,71 m²,2.0,2005,C - oransje,"Lys og attraktiv leilighet med 2 soverom, solrik uteplass og nydelig utsikt. Egen p-plass. Gangavstand til sentrum.",
"Vadvegen 26, 2660 Dombås",1500000,37500,1537500,0,17697,Leilighet,Eier (Selveier),2,82 m²,82 m²,1.0,1994,,Selveierleilighet på Dombås 1. etasje,
"Heiastølen 24B, 5454 Sæbøvik",3250000,89820,3339820,1000,5237,Leilighet,Eier (Selveier),2,74 m²,89 m²,2.0,2018,,innbydende og moderne sentrums og ende leilighet med fantastisk utsikt og høy standard.,
"Tante Ulrikkes vei 34A, 0984 Oslo",2850000,627144,1132,3478276,6161,Leilighet,Andel,2,73 m²,73 m²,2,1968,F - rød,"Romslig og pen 3-roms leilighet i 2. etg| Vestvendt balkong på ca. 8,5 kvm | Bad 2019 | Garasjeplass",
"Kystveien 22, 4841 Arendal",4100000,113870,4213870,2426,15759,Leilighet,Eier (Selveier),2,76 m²,76 m²,2,2017,C - mørkegrønn,"Eksklusiv selveierleilighet med heis, garasjeplass og solrik utsiktsterrasse - Barbu Brygge",
"Solbakken 43C, 6429 Molde",1540000,176207,8062,1724269,4705,Leilighet,Andel,1,63 m²,68 m²,7,1971,E - rød,Romslig 3-roms leilighet - vestvendt balkong med kveldssol - parkering i felles garasjeanlegg - heis,
"Kalbakkstubben 24, 0951 Oslo",2750000,98000,15554,2863554,2957,Leilighet,Andel,1,30 m²,37 m²,4,1956,F - lysegrønn,Etterspurt beliggenhet! 2 roms toppleilighet. 7 kvm balkong med fantastisk utsikt! Kort vei til t-bane/buss og butikker.,
"Frøyas vei 18, 1782 Halden",750000,428049,1178049,4134,0,Leilighet,Andel,48 m²,59 m²,1,1978,D - rød,,2-roms leilighet- innglasset balkong -semtrumsnært,
"Myrvegen 62, 2052 Jessheim",3475000,65441,1132,3541573,4050,Leilighet,Andel,2,69 m²,72 m²,2,2008,D - rød,"Tiltalende og romslig 3-roms i 2. etasje med balkong, heis og garasjeplass | Felles trimrom og spa avd. | Sentrumsnært!",
"Smiestubben 3, 4027 Stavanger",2100000,380635,8626,2489261,6530,Leilighet,Andel,2,63 m²,66 m²,2,2003,D - rød,Pen og oppusset 3- romsleilighet med god planløsning og sentral beliggenhet. Parkeringsplass i lukket anlegg og heis.,
"Havreveien 9, 0680 Oslo",3300000,113000,15554,3428554,4005,Leilighet,Andel,2,58 m²,58 m²,2,1960,C - gul,3-roms hjørneleilighet med 11 kvm balkong. 2. etg med heis! Trenger oppussing med unntak av utvidet bad. Vv/fyr inkl.,
"Hagegata 1A, 0577 Oslo",3150000,26292,1132,3177424,2322,Leilighet,Andel,1,40 m²,40 m²,2,1903,G - rød,Oppussingsobjekt m/stor potensiale!|2-R m/god takhøyde & store vindusflater|Stukkatur & rosett|Lave F.K|Ingen forkjøp!,
"Michael Krohns gate 75, 5057 Bergen",2890000,73420,2963420,1456,8400,Leilighet,Eier (Selveier),1,38 m²,42 m²,6,2013,B - mørkegrønn,"Flott 2-roms i moderne bygg med privat balkong, felles takterrasse, og heis. 15 min gange til sentrum.",
"Siriskjeret 36, 4014 Stavanger",3690000,93592,3783592,2286,5365,Leilighet,Eier (Selveier),2,70 m²,73 m²,3,2013,C - mørkegrønn,Moderne 3-romsleilighet med sentral beliggenhet - 2 soverom - parkering i garasje - Nærhet til sjøen!,
"Sandakerveien 10R, 0473 Oslo",3990000,369252,8032,4367284,5489,Leilighet,Andel,1,46 m²,49 m²,3,1936,F - mørkegrønn,Sjarmerende og solfylt 2-roms uten innsyn og idyllisk beliggenhet mot Akerselva - Moderne bad og kjøkken - Må sees!,
"Sognsveien 46, 0851 Oslo",12500000,42629,8032,12550661,4317,Leilighet,Andel,2,104 m²,104 m²,2,1920,G - oransje,"Lys og innbydende bolig over to plan og hems. Skjermet, frodig og solrik hageparsell. Felles balkong. To komplette bad.",
"Lørenvangen 23C, 0585 Oslo",4290000,116892,4406892,2432,0,Leilighet,Eier (Selveier),1,42 m²,42 m²,4,2019,,"Helt ny og svært pen 2-roms i Gartnerkvartalet med solrik balkong, høy standard, vannbåren varme og flotte fellesarealer",
"Vistegata 12C, 4007 Stavanger",2137000,338225,15556,2490781,4681,Leilighet,Andel,1,54 m²,54 m²,1,1964,G - oransje,Kjekk leilighet med attraktiv beliggenhet. Sør-vestvendt terrasse med gode solforhold. God planløsning.,
"Olavs gate 2, 2815 Gjøvik",2500000,396434,1132,2897566,5855,Leilighet,Andel,2,81 m²,89 m²,4,1967,F - rød,Romslig og innbydende andelsleilighet i 4.etg med livsløpsstandard|2 soverom|sentrumsbeliggenhet|balkong med Mjøsutsikt|,
"Engekjærveien 10, 4846 Arendal",1950000,60120,2010120,500,16222,Leilighet,Eier (Selveier),4,89 m²,89 m²,2005,E - rød,,Leilighet i Arendal - Lekker leilighet med 4 soverom og gangavstand til sentrum,
"Disetsvingen 3, 2836 Biri",2390000,68772,2458772,2162,5432,Leilighet,Eier (Selveier),2,78 m²,82 m²,1,2018,B - oransje,Nyere selveierleilighet på bakkeplan. Lys og lettstelt leilighet med 2 soverom. Terrasse og carport.,
"Myrvegen 62, 2052 Jessheim",4500000,65441,1132,4566573,4050,Leilighet,Andel,2,69 m²,72 m²,4,2008,D - rød,Stor (72 kvm) 3-roms i toppetasje med sol formiddag til kveld uten innsyn | Garasjeplass | Eksklusive fasiliteter,
"Riihimækiveien 31, 2013 Skjetten",3450000,107362,8627,3565989,4986,Leilighet,Andel,3,96 m²,109 m²,3,1975,F - rød,Innholdsrik 4-roms leilighet - Stor innglasset balkong på 13 kvm - Garasjeplass - Nærhet til alt av servicetilbud.,
"Bjørgvingata 34 B, 5531 Haugesund",1390000,389479,4957,1784436,3703,Leilighet,Andel,1,60 m²,60 m²,2,1987,E - rød,Sentralt - Lekker og tiltalende 2(3)-roms leilighet med stor solrik terrasse. Utvidet bad. Rolig beliggenhet.,
"Arnegårdsbakken 7B, 3511 Hønefoss",2400000,241902,67362,2709264,4135,Leilighet,Eier (Selveier),2,74 m²,76 m²,2,1996,F - oransje,3-roms selveierleilighet over to plan med nydelig utsikt over byen. Parkeringsplass medfølger. TV/internett fra Altibox.,
"Iduns vei 1, 1463 Fjellhamar",3200000,123005,8626,3331631,3940,Leilighet,Andel,2,54 m²,54 m²,1,1956,G - mørkegrønn,Lys og moderne 3-roms leilighet m/ balkong. Sentral og attraktiv beliggenhet v/Fjellhamar Torg!,
"Strømsø torg 5C, 3044 Drammen",750000,457396,1132,1208528,7145,Leilighet,Andel,0,17 m²,17 m²,1,1861,G - mørkegrønn,Meget sentral 1-roms med hems i 1. etasje| Sentral beliggenhet perfekt for pendlere og studenter!,
"Auravegen 33 J, 4700 Vennesla",2190000,196715,5162,2391877,4098,Leilighet,Andel,3,123 m²,130 m²,5,1979,,Vennesla - nær sentrum | Stor 4-roms toppleilighet | Solrik takterrasse med utsikt | Skjermet uteplass | Garasje i rekke,
"Strimmelen 20, 5097 Bergen",2590000,197875,1132,2789007,4995,Leilighet,Andel,2,61 m²,61 m²,9,1957,,Trivelig 3-roms med attraktiv beliggenhet på Landås. Fantastisk utsikt og gode solforhold. Ingen dok.avgift v/kjøp,
"Haakon Tveters vei 76, 0686 Oslo",3850000,59000,9126,3918126,3498,Leilighet,Andel,2,64 m²,64 m²,4,1954,G - mørkegrønn,3-roms toppleil. m/vestvendt balkong - Vinduer 2019 - Kjøkken 2014 - Fyring inkl. - Nærhet til T-bane og buss.,
"Pilestredet Park 34, 0176 Oslo",4190000,106092,4296092,2825,0,Leilighet,Eier (Selveier),1,37 m²,37 m²,3,1938,C - mørkegrønn,Flott 2-roms selveier med attraktiv beliggenhet i grønne omgivelser. Balkong. Heis. Garasje.,
"Damveien 18, 0587 Oslo",3900000,160973,8882,4069855,2808,Leilighet,Andel,1,42 m²,42 m²,2,1967,G - rød,Sjarmerende og flott beliggende 2-roms / stor og solrik balkong. Pent kjøkken 2014. Stor frodig felles hage. Parkering*,
"Birkelandsveien 1B, 1890 Rakkestad",1375000,107981,8032,1491013,4000,Leilighet,Andel,1,62 m²,65 m²,1,1975,F - rød,Praktisk andelsleilighet med alt på ett plan - Solrik terrasse - Sentralt - Utvidet bad fra 2012,
"Ringgata 5 D, 0577 Oslo",4370000,87411,19520,4476931,3530,Leilighet,Aksje,1,57 m²,57 m²,2,1955,D - gul,"Moderne, lys og stor 2-roms aksje med idyllisk beliggenhet. Balkong med herlig utsyn. Lave omkostninger. Må sees!",
"Lørenveien 63A, 0585 Oslo",4200000,116542,4316542,1630,0,Leilighet,Eier (Selveier),1,39 m²,41 m²,7,2019,B - mørkegrønn,Moderne & flott 2-roms med en herlig balkong på 9 m² - Nybygg fra 2019 - Walk-in garderobe - Lave bokostnader - Heis,
"Arne Fjellbus veg 4B, 7033 Trondheim",2890000,312948,12554,3215502,5301,Leilighet,Andel,2,65 m²,65 m²,1,1973,,LYS OG FLOTT 3-ROMS. Fantastisk beliggenhet med nydelig utsikt og sol til sent på kveld.,
"Kirkeveien 53, 0368 Oslo",4500000,214000,119192,4833192,3966,Leilighet,Eier (Selveier),1,41 m²,41 m²,3,1937,E - mørkegrønn,"Sentral, moderne & arealeffektiv 2R med separat kjøkken|Nordvestvendt balkong|Heis|Peis|Nyere bad & kjk.|Flytt rett inn!",
"Galeasgata 6, 6510 Kristiansund N",1590000,419049,1162,2010211,4414,Leilighet,Andel,2,66 m²,66 m²,1,1957,,Flott 3-roms leilighet m/romslig veranda. Veldrevet brl. og renovert fasade!,
"Øvre Maihaugen 2D, 3741 Skien",1280000,15778,1132,1296910,4017,Leilighet,Andel,2,73 m²,83 m²,2,1973,E - rød,"Moderne og tidsriktig 3-roms med herlig utsyn over nærområdet - lun balkong, sentralt og barnevennlig. Nyere kjøkken.",
"Hålogalandsgata 128, 8008 Bodø",2150000,842916,1132,2994048,8962,Leilighet,Andel,1,64 m²,69 m²,1,2005,E - rød,Pen 2-roms med utleiehybel | Gode leieinntekter | Stor terrasse | Fast parkering | Sentralt,
"Lønborglien 40, 5039 Bergen",2540000,72170,2612170,1723,6795,Leilighet,Eier (Selveier),1,45 m²,45 m²,5,2004,G - rød,Ytre Sandviken - Flott 2-roms leilighet med sjøutsikt og solrik altan. Heis. Garasje. Nærhet til NHH.,
"Mathiasbakken 4A, 3132 Husøysund",3450000,87592,3537592,2985,0,Leilighet,Eier (Selveier),2,62 m²,64 m²,1,2005,E - rød,"Lys og hyggelig endeleilighet i 1. etg. med alt på en flate, 2 soverom, flott utsikt og garasjeplass.",
"Rolf Hofmos gate 32, 0655 Oslo",6500000,164592,6664592,3169,0,Leilighet,Eier (Selveier),2,65 m²,65 m²,8,2019,C - mørkegrønn,Strøken toppleilighet i 8.etg fra 2019|Sørvendt balkong med sjøutsikt|Garasjeplass med elbillader|VV/fyring inkl.,
"Kråvasslia 10A, 5134 Flaktveit",1990000,609500,8476,2607976,7138,Leilighet,Andel,2,74 m²,74 m²,1,1990,E - rød,Nydelig og oppgradert 3-roms rekkehusleilighet med stor uteplass og hage. Trappefri adkomst & p-plass.,
"Straumsfjellvegen 9A, 5353 Straume",3350000,92320,3442320,1904,10125,Leilighet,Eier (Selveier),1,64 m²,67 m²,3,2018,A - oransje,Nyere stor 2-roms selveier med fantastiske sol- og utsiktsforhold. Garasjeplass m/ el-billader. Trappefritt med heis.,
"Åssiden 5B, 1860 Trøgstad",1180000,187927,5262,1373189,3939,Leilighet,Andel,1,50 m²,50 m²,1,1978,E - rød,VISNING! Skjønhaug - andelsleilighet i 1.etasje med garasje - vestvendt balkong på 15 kvm,
"Vilhelm Bjerknes' vei 84, 5081 Bergen",3100000,34574,13353,3147927,3367,Leilighet,Andel,2,67 m²,68 m²,1,1964,,Strøken 3-roms |Mulighet for 3 soverom | Altan på 11m2 | Kort vei til Bybane | Oppussing gjort av fagfolk | Bør ses,
"Strandvegen 1B, 2005 Rælingen",7400000,3798,186412,7590210,3298,Leilighet,Eier (Selveier),3,89 m²,93 m²,4,2019,D - mørkegrønn,"Moderne, påkostet hjørneleilighet med god takhøyde i 4. etasje. To terrasser - Flott utsikt - Gangavstand til Lillestrøm",
"Møllendalsbakken 1, 5009 Bergen",3590000,98320,3688320,11825,0,Leilighet,Eier (Selveier),1,47 m²,50 m²,2,2008,,Toroms selveierleilighet med balkong - Garasjeplass med elbillader - 2 felles takterrasser - Like ved Bybanen fra 2022,
"Eliasmarken 2B, 5164 Laksevåg",2190000,2054802,5660,4250462,10150,Leilighet,Andel,2,85 m²,89 m²,4,2008,C - rød,Nygård - 5 min. fra sentrum. Lekker 3-roms med stor usjenert balkong. Fast p-plass i garasje. Heis i bygget. IN ordning.,
"Bentsebrugata 13G, 0476 Oslo",4100000,105042,4205042,1397,0,Leilighet,Eier (Selveier),1,52 m²,56 m²,1,1959,,Lekker 2-roms leilighet fra 2021 med attraktiv beliggenhet. Heis og solrik parsell på takterrasse. Rett ved Akerselva!,
"Breigata 18, 0187 Oslo",2940000,1423164,5660,4368824,10793,Leilighet,Andel,2,53 m²,53 m²,3,2009,C - mørkegrønn,Pen og moderne 3-roms med balkong - Fjernvarme inkl. - IN-ordning - Vendt mot bakgård - Heis - Sentral beliggenhet,
"Liljeveien 14A, 3228 Sandefjord",3000000,96883,7860,3104743,4036,Leilighet,Andel,3,121 m²,121 m²,1974,E - oransje,,"Flott enderekkehus over 2 plan med stor, usjenert og solrik markterrasse og pent opparbeidet hage. Garasje i rekke!",
"Strandgata 160, 6060 Hareid",3390000,96322,3486322,3210,9776,Leilighet,Eier (Selveier),3,109 m²,129 m²,2,2013,C - rød,Pen og praktisk leilighet med 2 verandaer og egen garasjeplass | Heis | Sentralt,
"Søndre gate 19, 8624 Mo i Rana",3300000,8526,83870,3392396,2600,Leilighet,Eier (Selveier),2,75 m²,78 m²,3,2000,,"Romslig selveid 3- roms leilighet, med meget sentral beliggenhet!",
"Elvebakken 46C, 8403 Sortland",2800000,78042,2878042,1500,7604,Leilighet,Eier (Selveier),2,73 m²,79 m²,2012,D - rød,,VISNING ONSDAG 30/06! - ELVEBAKKEN - Pen 3-roms selveierleilighet - Fin beliggenhet - Carport og Sørvendt balkong,
"Filerveien 9, 0684 Oslo",3900000,35000,15554,3950554,4037,Leilighet,Andel,2,64 m²,74 m²,2,1958,D - lysegrønn,"Pen 3-roms med god standard og stor solrik balkong. Kort vei til butikk, skole, marka og off.kommunikajson.",
"Fjellveien 43 B, 8011 Bodø",3570000,90420,3660420,8410,0,Leilighet,Eier (Selveier),2,69 m²,74 m²,1,2003,D - rød,Romslig 3-roms selveierleilighet i horisontaldelt tomannsbolig med parkering i carport - Solrik fellesterrasse,
"Deppeldiket 34, 8050 Tverlandet",2510000,262335,960,2773295,4590,Leilighet,Andel,2,70 m²,76 m²,1,1984,F - oransje,Romslig og praktisk 3 - roms leilighet på Tverlandet i populært og familievennlig område!,
"Furulyvegen 7A, 2830 Raufoss",2150000,65292,2215292,600,18984,Leilighet,Eier (Selveier),2,65 m²,68 m²,1,2008,C - rød,"Lettstelt selveier leilighet med 2 sov, trappefri adkomst, garasjeplass og sentrumsnær beliggenhet!",
"Engeveien 8, 5096 Bergen",2350000,67320,2417320,438,6426,Leilighet,Eier (Selveier),1,34 m²,34 m²,4,1934,,LANDÅS - Lys og arealeffektiv toppleilighet med god standard. Sentral og attraktiv beliggenhet nær Haukeland.,
"Øverbyvegen 4, 2834 Raufoss",3990000,108772,4098772,3930,8219,Leilighet,Eier (Selveier),2,99 m²,102 m²,1,2020,C - mørkegrønn,"Raufoss - NY PRIS! - Sentral 3-roms leil. fra 2020 m/ bla. 2 bad, åpen stue-/kjøkkenløsning, stor uteplass og p-kjeller",
"Nygårdsgaten 55, 5008 Bergen",2990000,633229,5860,3629089,6814,Leilighet,Andel,2,56 m²,59 m²,4,2005,,SENTRUM | Eksklusiv 3-roms leilighet med god standard og egen balkong. Nærhet til bybanestopp og studieinstitusjoner.,
"Rodeløkka 3, 1778 Halden",950000,516411,1466411,5098,0,Leilighet,Andel,49 m²,69 m²,4,1972,D - rød,,2-roms leilighet -sentralt - 4. etasje - heis - innglasset balkong,
"Gyldenløves gate 37F, 4614 Kristiansand S",2950000,81622,3031622,400,0,Leilighet,Eier (Selveier),3,49 m²,49 m²,1,2020,,"Posebyen | Nyere, smakfull 4-roms selveierleilighet over to plan | Sjarmerende, skjermet bakgård | Midt i smørøyet",
"Hornnesvegen 18A, 6809 Førde",2250000,156267,5232,2411499,4750,Leilighet,Andel,2,87 m²,96 m²,3,1976,F - oransje,"Ei romsleg 3/4- roms endeleilegheit med stor, overbygd veranda og parkering i garasje.",
"Kokstadvegen 153, 5257 Kokstad",2700000,68842,2768842,10900,0,Leilighet,Eier (Selveier),2,63 m²,68 m²,3,1989,F - rød,Flott treroms eierleilighet på Kokstad. Fast parkering - takterrasse.,
"Løkkegata 4B, 1607 Fredrikstad",2600000,44000,15554,2659554,3927,Leilighet,Andel,1,58 m²,58 m²,3,1952,G - mørkegrønn,"Moderne og betydelig oppgradert leilighet i 3.etg | Vestvendt balkong | Gåavstand til Torvbyen, høgskole, gågate m.m",
"Filerveien 2, 0684 Oslo",3990000,201371,8626,4199997,4022,Leilighet,Andel,2,65 m²,75 m²,2,1962,F - rød,Romslig 3-roms med god planløsning|Populært borettslag |Nytt bad 2021|Ingen gjenboere|Stor solrik balkong|Barnevennlig,
"Rossalandtunet 5A, 4313 Sandnes",3390000,86092,3476092,3489,8064,Leilighet,Eier (Selveier),3,96 m²,97 m²,2006,E - rød,,Tiltalende leilighet i populært område | 3 soverom | Stor solrik terrasse | Parkering i carport,
"Thor Olsens gate 8B, 0177 Oslo",4790000,86000,123242,4999242,3236,Leilighet,Eier (Selveier),1,54 m²,54 m²,5,1931,G - rød,Innbydende og lys 2(3)-roms loftsleilighet - 71m² gulvareal - God standard - Store rom - Populær beliggenhet,
"Juldagan 12 - SKIR - A1004, 9006 Tromsø",2850000,72290,2922290,1505,0,Leilighet,Eier (Selveier),32 m²,36 m²,10,2021,1,,Helt ny innflyttingsklar 1 -roms selveierleilighet med nydelig utsikt.,
"Brubakken 12, 2615 Lillehammer",3200000,81342,3281342,1818,11558,Leilighet,Eier (Selveier),2,61 m²,61 m²,4,1964,G - mørkegrønn,"3-roms leilighet i 4.etg. midt i sentrum. Solrik balkong, nydelig utsikt, sentralvarmeanlegg og heis.",
"Prestestien 48, 5118 Ulset",2750000,540151,13204,3303355,5341,Leilighet,Andel,2,77 m²,77 m²,1,1970,,"Lekker 3-roms med attraktiv beliggenhet. Nær skole, buss og butikker. Varmtvann og sentralvarme inkl. i f.utg.",
"Troldhaugvegen 56, 5232 Paradis",4840000,122342,4962342,2657,9770,Leilighet,Eier (Selveier),2,75 m²,78 m²,2,2016,D - mørkegrønn,Moderne og flott 3-roms endeleilighet fra 2016. Sørvestvendt balkong på 18 kvm. Garasjeplass og heis!,
"Fuglsetvegen 15, 6415 Molde",1550000,282134,40092,1872226,3275,Leilighet,Eier (Selveier),1,36 m²,36 m²,3,1967,G - rød,Moderne 2-roms sentrumsleilighet i tilbaketrukket gate. Pusset opp i 2005/2006. Egen hageterrasse og parkering.,
"Tordenskjolds gate 5, 2821 Gjøvik",6000000,159022,6159022,4871,13000,Leilighet,Eier (Selveier),3,124 m²,130 m²,2,2017,C - mørkegrønn,"Gjennomgående, lys og lekker leilighet - 3 soverom, 2 bad, balkong, terrasse - heis og garasje - felles takterrasse",
"Askeladdvegen 19 D, 7056 Ranheim",4050000,109492,4159492,458,17804,Leilighet,Eier (Selveier),3,87 m²,87 m²,2,1995,E - oransje,"Romslig leilighet i 4-mannsbolig i 2. etg - Rolig og familievennlig - Kjøkken, bad og el-anlegg fra 2014",
"Smalgangen 25, 0188 Oslo",3900000,98842,3998842,3412,0,Leilighet,Eier (Selveier),1,56 m²,56 m²,3,1990,D - lysegrønn,Romslig og lys 2-R Selveierleilighet | Sentralt |Balkong | Inkl. Fjernvarme/varmtvann og strøm (a-konto) | *Garasjeleie,
"Soliehagen 29, 1533 Moss",3800000,96342,3896342,2107,0,Leilighet,Eier (Selveier),2,89 m²,94 m²,1,2017,C - rød,Flott 3-roms leilighet sentralt i Moss| Romslig terrasse på ca 56 kvm med gode solforhold| Steinkast unna Vansjø|garasje,
"Jørgen Løvlands gate 1B, 0568 Oslo",5450000,137592,5587592,3381,0,Leilighet,Eier (Selveier),2,62 m²,62 m²,3,2012,D - mørkegrønn,"Lekker 3-roms selveier hjørneleilighet - Stor balkong - Heis - Fjernvarme, kabel TV/internett ink - Sentral beliggenhet",
"Vetlandsveien 97C, 0685 Oslo",3400000,255219,8626,3663845,3776,Leilighet,Andel,1,51 m²,51 m²,4,1954,E - lysegrønn,"Stor og pen 2-roms toppleilighet med solrik sydvestvendt balkong, og flott utsikt. Bad fra 2019. Flott beliggenhet!",
"Laberget 48B, 4020 Stavanger",1350000,2002130,1132,3353262,12124,Leilighet,Andel,2,71 m²,71 m²,3,2008,D - rød,Innflytningsklar 3- roms leilighet i 3. etasje -Balkong med gode solforhold -Parkering i anlegg -Hinna Pluss -IN-ordning,
"Segelckes vei 7, 2010 Strømmen",2500000,491141,8557,2999698,6463,Leilighet,Andel,1,40 m²,43 m²,2,2006,D - rød,Innbydende 2-roms med vestvendt balkong og garasjeplass i lukket garasjeanlegg. IN-ordning. Nærhet til Strømmen sentrum.,
"Margrethes Fryd 23B, 6514 Kristiansund N",1590000,8136,8457,1606593,4704,Leilighet,Andel,2,61 m²,62 m²,3,1972,E - rød,PÅMELDINGSVISNING 22.JUNI - Moderne og pent oppusset 3-roms med sjøutsikt og gode parkeringsmuligheter!,
"Gamle Åsvei 1 D, 7020 Trondheim",2790000,70920,2860920,610,0,Leilighet,Eier (Selveier),1,41 m²,41 m²,2006,E - rød,,"Moderne 2-roms selveier | Vidstrakt utsikt over byen | Kort vei til Bymarka, sentrum og St. Olavs | Sjekk uteområdet!",
"Hjelmelandsgata 4, 4012 Stavanger",2800000,78570,2878570,8925,0,Leilighet,Eier (Selveier),2,81 m²,86 m²,1915,G - rød,,Tiltalende 3-roms leilighet etablert i 2010 med gjennomgående god standard. Sentral beliggenhet.,
"Hatlehaugen 1C, 6812 Førde",1950000,26107,5232,1981339,4494,Leilighet,Andel,2,64 m²,66 m²,2,1992,D - oransje,"Lys og fin 3-roms leilegheit med god plassering! Carport, overbygd veranda, gode solforhold - verdt å sjå.",
"Kvernslåttvegen 17, 5237 Rådal",3450000,12846,95220,3558066,2616,Leilighet,Eier (Selveier),2,65 m²,65 m²,3,2005,E - mørkegrønn,Råstølen - Nydelig 3-roms leilighet i toppetasjen m/garasjeplass. Heis. Sentralt. Bybanestopp og butikker like ved.,
"Johan Falkbergets veg 5, 2816 Gjøvik",1800000,283977,15506,2099483,4099,Leilighet,Andel,1,50 m²,50 m²,2,1957,G - rød,GJØVIK - Lettstelt og pen 2-roms leilighet i 2. etasje - vestvendt balkong med sentral og god beliggenhet!,
"Manganveien 49A, 4629 Kristiansand S",2190000,130559,12925,2333484,3637,Leilighet,Andel,2,71 m²,71 m²,3,1965,G - rød,VISNING 30/06! Lekker 3-romsleilighet i tredje og øverste etasje | Stor solrik balkong | Parkering på fellestomt,
"St. Olavs vei 20 B, 4631 Kristiansand S",2100000,127413,12657,2240070,3877,Leilighet,Andel,2,60 m²,60 m²,2,1978,,Lund | Stor 3-roms endeleilighet | Sydvendt balkong | Rehabiliteringsobjekt,
"Tvetenveien 15, 0666 Oslo",3250000,77000,8626,3335626,2576,Leilighet,Andel,1,40 m²,40 m²,1,1953,F - rød,Pen og arealeffektiv 2-roms med vestvendt balkong på 7 m². Populært område med mye grøntareal. Ca. 15 min til sentrum!,
"Åsligrenda 49, 5115 Ulset",2150000,191857,5660,2347517,3469,Leilighet,Andel,1,44 m²,44 m²,1976,32289 m² (eiet),,"Åsane - Attraktiv beliggende 2-roms leilighet, ""midt"" i Åsane. Stor, solrik og vestvendt terrasse.",
"Hammarn 12, 8003 Bodø",4900000,3184652,960,8085612,12655,Leilighet,Andel,4,127 m²,127 m²,7,2008,E - rød,Innbydende 5-roms frontleilighet i 7 etg i Bodø Panorama med fabelaktig utsikt - 2 balkonger - 2 parkeringsplasser,
"Spireaveien 10A, 0580 Oslo",3800000,56000,97742,3953742,3274,Leilighet,Eier (Selveier),1,47 m²,47 m²,3,2005,D - rød,Pen 2-roms selveierleilighet med solrik balkong. Arealeffektiv planløsning. Garasjeplass. Lave felleskostnader!,
"Konnerudgata 10D, 3045 Drammen",2990000,34442,76092,3100534,6205,Leilighet,Eier (Selveier),2,81 m²,83 m²,4,1939,G - mørkegrønn,Stor fin eierleili. i 4 Etg. Nytt kjøkken. Meget sentralt. Fin utsikt. Stor balkong. Heis. Meget kort vei til tog/buss.,
"Hjalmar Johansens gate 179, 9007 Tromsø",1400000,2018679,1132,3419811,12349,Leilighet,Andel,2,55 m²,58 m²,3,2007,D - mørkegrønn,Fin 3-roms andelsleilighet med sentral beliggenhet|Felles takterrasse|Gode bussforbindelser,
"Wesenbergsmauet 4, 5003 Bergen",3470000,394082,1132,3865214,3024,Leilighet,Andel,2,53 m²,53 m²,3,1896,F - rød,Nydelig 3-roms toppleilighet |God standard |Totaloppusset bygg i 2013 |Vestvendt med herlig utsikt |Ingen dok.avg.,
