Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,balkong,utsikt,garasje,heis,parkering,sentrum,toppleilighet,By,Alder,simp_megler,Energimerking_encoded,Aksje,Andel,Selveier
"St. Jørgens vei 41, 0662 Oslo",5090000,218000,9126,5090000,3205.0,Andel,2,65.0,65.0,4,1955,G - oransje,"Rålekker 3-roms endeleilighet med solrik balkong og fantastisk utsikt|Pusset opp i nyere tid - Peis - Kort vei til ""alt""",Krogsveen avd. Hasle,1,1,0,0,0,0,0,Oslo,66,Krogsveen,2.0,0,1,0
"Einars vei 4, 0575 Oslo",7000000,246822,9126,7000000,4555.0,Andel,2,90.0,90.0,3,1952,G - rød,Unik mulighet på Keyserløkka - 90 kvm over to plan - Gjennomgående planløsning - Rolig og sentralt - Balkong - Vedovn,Krogsveen avd. Hasle,1,0,0,0,0,1,0,Oslo,69,Krogsveen,1.0,0,1,0
"Smedstuvegen 5, 2030 Nannestad",3390000,62357,86092,3390000,4973.0,Selveier,2,71.0,74.0,4,2015,D - mørkegrønn,"Lys, moderne og nyere (2015) 3-R toppleilighet med overbygd balkong | Varmtvann og fyring inkl. | Garasje| Sentralt|",Krogsveen avd. Jessheim,1,0,1,0,0,1,1,Nannestad,6,Krogsveen,17.0,0,0,1
"Dragen 5, 2165 Hvam",3100000,78842,0,3178842,987.25,Selveier,2,69.0,71.0,2,2018,C - rød,Lekker 3-roms eierleilighet med god planløsning og uinnredet loftsetasje. Veletablert og barnevennlig boområde.,Krogsveen avd. Jessheim,0,0,0,0,0,0,0,Hvam,3,Krogsveen,20.0,0,0,1
"Kolbotnveien 19B, 1410 Kolbotn",3250000,124000,85644,3250000,3439.0,Selveier,1,49.0,49.0,4,2006,D - mørkegrønn,"Flott 2-roms hjørne/endeleilighet fra 2006 med balkong, heis og garasjeplass i hjertet av Kolbotn.",Krogsveen avd. Kolbotn,1,0,1,1,0,0,0,Kolbotn,15,Krogsveen,17.0,0,0,1
"Henrik Wergelands gate 71B, 4614 Kristiansand S",1750000,45092,0,1795092,698.1666666666666,Selveier,1,54.0,54.0,1,1958,G - oransje,2 roms selveierleilighet | Høy første etasje | Balkong | Perfekt utleie/oppussingsobjekt,Krogsveen avd. Kristiansand,1,0,0,0,0,0,0,S,63,Krogsveen,2.0,0,0,1
"Koboltveien 16, 4629 Kristiansand S",1690000,415634,1132,1690000,5592.0,Andel,3,101.0,101.0,3,1973,F - oransje,Romslig og pen andelsleilighet med god planløsning. Heis. 3 soverom. Solrik balkong.,Krogsveen avd. Kristiansand,1,0,0,1,0,0,0,S,48,Krogsveen,7.0,0,1,0
"Strandgata 38, 3263 Larvik",3550000,2789941,1132,3550000,7806.0,Andel,3,98.0,101.0,1,2014,C - rød,"Larvik - Marius Brygge II - Flott, nyere sydvestvendt leilighet i strandkanten !",Krogsveen avd. Larvik,0,0,0,0,0,0,0,Larvik,7,Krogsveen,20.0,0,1,0
"Middelthuns gate 11B, 0368 Oslo",3280000,131225,87112,3280000,3169.0,Selveier,0,48.0,48.0,2,1890,G - rød,"Bo på beste Majorstuen i en kul, stor og urban sokkelleilighet på 48 kvm - Godt førstegangsskjøp/utleiobjekt!",Krogsveen avd. Løren,0,0,0,0,0,0,0,Oslo,131,Krogsveen,1.0,0,0,1
"Kulturhusgata 5, 1473 Lørenskog",2600000,66342,0,2666342,276.425,Selveier,0,27.0,31.0,4,2013,B - rød,"Hyggelig 1-roms i 4.etg, sentralt i Lørenskog sentrum. Varmtvann og fyring inkludert. Garasjeplass med adkomst via heis",Krogsveen avd. Lørenskog,0,0,1,1,0,1,0,Lørenskog,8,Krogsveen,26.0,0,0,1
"Schwensens gate 4, 0170 Oslo",6200000,189990,156342,6200000,4647.0,Selveier,2,74.0,74.0,1,1921,G - oransje,"Pen 3- roms i høy 1. etasje med 2 bad, peisovn & god takhøyde. Egen inngang. Hybelmulighet.",Krogsveen avd. Majorstuen,0,0,0,0,0,0,0,Oslo,100,Krogsveen,2.0,0,0,1
"Rektorhaugen 35, 0876 Oslo",5500000,329000,1132,5500000,4762.0,Andel,2,69.0,69.0,1,1960,F - mørkegrønn,"Gj. gående, hjørne- og endeleilighet med vestvendt balkong | Felles hage | Fyring & V.v inkl. i FK | Moderniseringsbehov",Krogsveen avd. Majorstuen,1,0,0,0,0,0,0,Oslo,61,Krogsveen,8.0,0,1,0
"Bjerregaards gate 19, 0172 Oslo",3350000,223000,8626,3350000,3571.0,Andel,0,31.0,39.0,4,1960,C - mørkegrønn,Lys og luftig leilighet sentralt på St. Hanshaugen | Innglasset balkong på 8 kvm | Nytt bad 2021 | Heis |Ingen dok. avg,Krogsveen avd. Majorstuen,1,0,0,1,0,1,0,Oslo,61,Krogsveen,22.0,0,1,0
"Stiftelsesgata 19, 4012 Stavanger",1995000,51217,0,2046217,412.3333333333333,Selveier,1,42.0,42.0,1,1878,E - oransje,Moderne og fin leilighet med svært sentral beliggenhet. |Nyere bad |5 min til sentrum,Krogsveen avd. Mariero,0,0,0,0,0,1,0,Stavanger,143,Krogsveen,11.0,0,0,1
"Balaklava 17A, 1513 Moss",2300000,170267,8625,2300000,4300.0,Andel,2,67.0,67.0,2,1961,F - gul,Gjennomgående 3-roms med utsikt og morgen-/formiddagssol på balkongen. Tilbaketrukkede og fredelige omgivelser.,Krogsveen avd. Moss,1,1,0,0,0,0,0,Moss,60,Krogsveen,10.0,0,1,0
"Hjørnerødgata 6, 1608 Fredrikstad",1890000,48620,0,1938620,202.58333333333334,Selveier,2,59.0,61.0,1,1875,G - rød,Lys og pen 3-roms selveierleilighet - Gangavstand til sentrum - Rolig område - Perfekt førstegangskjøp/utleieobjekt!,Krogsveen avd. Nedre Glomma,0,0,0,0,0,1,0,Fredrikstad,146,Krogsveen,1.0,0,0,1
"Bergkrystallen 2, 1155 Oslo",3650000,316000,8626,3650000,3233.0,Andel,2,66.0,67.0,1,1957,F - rød,Attraktivt beliggende 3-roms endeleilighet i høy 1. etg. Solrik balkong. Stort bad.,Krogsveen avd. Nordstrand,1,0,0,0,0,0,0,Oslo,64,Krogsveen,6.0,0,1,0
"Oberst Rodes vei 31B, 1163 Oslo",5100000,178000,133292,5100000,3979.0,Selveier,2,72.0,72.0,1,1939,G - oransje,Pen leilighet i 4-mannsbolig med romslig sydvendt veranda og nyere kjøkken.,Krogsveen avd. Nordstrand,0,0,0,0,0,0,0,Oslo,82,Krogsveen,2.0,0,0,1
"Sannergata 15C, 0557 Oslo",3800000,1132,0,3801132,4.716666666666667,Andel,1,35.0,35.0,2,1896,F - rød,"Flott 2-roms på ""Løkka"" med klassisk preg - Soverom mot bakgård - Lave felleskostnader - Ikke forkjøpsrett.",Krogsveen avd. Oppsal,0,0,0,0,0,0,0,Oslo,125,Krogsveen,6.0,0,1,0
"Enebakkveien 246, 1187 Oslo",5200000,131342,0,5331342,547.2583333333333,Selveier,2,95.0,138.0,2,1963,F - oransje,Hyggelig enebolig med hage og stort potensiale - Oppussingsobjekt - Garasje - Abildsø skolekrets,Krogsveen avd. Oppsal,0,0,1,0,0,0,0,Oslo,58,Krogsveen,7.0,0,0,1
"Spikkestadveien 92B, 3440 Røyken",3850000,1682,0,3851682,7.008333333333333,Andel,3,76.0,76.0,2,2007,D - rød,Lys og pen andelsleilighet i 2.etg med meget sentral beliggenhet - 3 soverom- Heis og garasjeplass - Balkong,Krogsveen avd. Røyken,1,0,1,1,0,0,0,Røyken,14,Krogsveen,15.0,0,1,0
