Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,balkong,utsikt,garasje,heis,parkering,sentrum,toppleilighet,By,Alder,simp_megler,Energimerking_encoded,Aksje,Andel,Selveier
"Liakroken 14, 5132 Nyborg",2590000,108831,15376,2590000,5886.0,Andel,3,91.0,91.0,3,1978,F - oransje,"NYBORG | Romslig 4-roms topp- og hjørneleilighet | Garasjeplass | Fine solforhold | Nær butikk, buss, skole og barnehage",Aktiv Arna & Åsane As,0,0,1,0,0,0,0,Nyborg,43,Aktive,7.0,0,1,0
"Roselundveien 67A, 1820 Spydeberg",2890000,88814,0,2978814,370.05833333333334,Selveier,2,56.0,59.0,3,2018,D - oransje,Pen og moderne leilighet med 2 soverom beliggende i 3. etg. Heis og garasje.,Aktiv Askim,0,0,1,1,0,0,0,Spydeberg,3,Aktive,16.0,0,0,1
"Korporal Nerdrums vei 3 F, 1960 Løken",2200000,739,66542,2200000,2000.0,Selveier,2,66.0,69.0,2,2007,E - oransje,"Bo solrikt og skjermet i Løken sentrum, i en trivelig 3-roms selveier, med vestvendt balkong, ildsted og rekkegarasje.",Aktiv Bjørkelangen,1,0,1,0,0,1,0,Løken,14,Aktive,11.0,0,0,1
"Hekkveien 1, 0571 Oslo",5400000,442228,19520,5400000,5506.0,Aksje,3,72.0,72.0,1,1955,G - mørkegrønn,"Lekker 4-roms m/sydvendt balkong på ca. 5,5 m². Akonto brensel inkl. i felleskostn. Mulighet for garasje/parkering*",Aktiv Carl Berner,1,0,1,0,1,0,0,Oslo,66,Aktive,3.0,1,0,0
"Christian Michelsens gate 22, 0568 Oslo",4500000,177268,19520,4500000,3683.0,Aksje,1,56.0,56.0,4,1933,G - oransje,"Påkostet & flott 2-roms med gjennomtenkte løsninger og et sjarmerende preg - Originale tregulv, vedovn & solrik balkong",Aktiv Carl Berner,1,0,0,0,0,0,0,Oslo,88,Aktive,2.0,1,0,0
"Olaf Schous vei 23, 0572 Oslo",3910000,80845,111292,3910000,3689.0,Selveier,1,51.0,51.0,5,1937,G - mørkegrønn,"Innbydende og romslig toppleilighet- Separat kjøkken - Soverom med herlig balkong på 8,5 m²! Bad fra 2015/16 -Parkering*",Aktiv Carl Berner,1,0,0,0,1,0,1,Oslo,84,Aktive,3.0,0,0,1
"Bjørnsons vei 6B, 3117 Tønsberg",2280000,143075,72112,2280000,2790.0,Selveier,1,50.0,53.0,1,1978,E - rød,Stilfull og nyoppusset 2-roms selveierleilighet med balkong og fast garasjeplass! Sentralt og rolig - flytt rett inn!,Aktiv Eiendomsmegling Tønsberg og Re,1,0,1,0,0,1,0,Tønsberg,43,Aktive,10.0,0,0,1
"St. Hanshaugen 13 B, 2413 Elverum",1000000,1017797,8032,1000000,8564.0,Andel,1,72.0,77.0,0,2006,C - rød,Strøken og funksjonell andelsleilighet med egen uteplass. Garasje og heis i bygget. Nær bymarka og sentrumsfasiliteter.,Aktiv Elverum,0,0,1,1,0,1,0,Elverum,15,Aktive,20.0,0,1,0
"Odins gate 14 A, 0266 Oslo",3750000,102589,107842,3750000,2257.0,Selveier,1,35.0,35.0,1,1898,E - lysegrønn,"Innbydende, klassisk og gjennomgående 2-roms. Stukkatur, god takhøyde og peisovn. Meget sentral beliggenhet!",Aktiv Frogner,0,0,0,0,0,0,0,Oslo,123,Aktive,13.0,0,0,1
"Trondheimsveien 24 C, 0560 Oslo",4900000,127273,8032,4900000,3629.0,Andel,2,66.0,66.0,3,1895,G - oransje,Klassisk og herskapelig 3-roms- Rosett og stukkatur - Modernisert i 2021 - Peisovn- Sjelden sjanse!,Aktiv Grønland/Bjørvika,0,0,0,0,0,0,0,Oslo,126,Aktive,2.0,0,1,0
"Plogveien 23, 0679 Oslo",3200000,262973,15526,3200000,3190.0,Andel,1,52.0,52.0,3,1958,F - rød,"Gjennomgående 2-roms med vestvendt, solrik balkong - Hyggelig boområde - Kort vei til marka og offentlig transport",Aktiv Grønland/Bjørvika,1,0,0,0,0,0,0,Oslo,63,Aktive,6.0,0,1,0
"Enebakkveien 25B, 0657 Oslo",3790000,80000,8032,3790000,3972.0,Andel,1,52.0,52.0,4,1935,F - mørkegrønn,"Lys, romslig og svært innbydende 2-roms leilighet i 4. etg. Originale, nyslipte tregulv. Utsikt. Mulighet for parkering*",Aktiv Grønland/Bjørvika,0,1,0,0,1,0,0,Oslo,86,Aktive,8.0,0,1,0
"Sørlihagen, 0651 Oslo",5950000,1132,0,5951132,4.716666666666667,Andel,2,61.9,65.5,2,2021,F - rød,"Splitter ny 3-roms med balkong. Beliggenhet i lukket bakgård. Est. ferdig 2022, Q1.",Aktiv Grønland/Bjørvika,1,0,0,0,0,0,0,Oslo,0,Aktive,6.0,0,1,0
"Tuenveien 2 A, 2000 Lillestrøm",1750000,314698,15526,1750000,4570.0,Andel,1,29.0,29.0,1,2004,G - rød,Lys og tiltalende 2-roms endeleilighet med terrasse. P-plass. Perfekt for deg mellom 18-35!,Aktiv Grünerløkka,0,0,0,0,0,0,0,Lillestrøm,17,Aktive,1.0,0,1,0
"Hesselbergs gate 8 C, 0555 Oslo",4000000,259032,8032,4000000,3855.0,Andel,1,50.0,50.0,4,1898,G - rød,Innbydende 2-roms toppleilighet i indre gård. Meget stille & rolig beliggenhet. Flott bakgård - ingen dok.avgift,Aktiv Grünerløkka,0,0,0,0,0,0,1,Oslo,123,Aktive,1.0,0,1,0
"Birch-Reichenwalds gate 27 B, 0483 Oslo",4700000,91751,15981,4700000,3742.0,Andel,1,58.0,58.0,5,1953,F - lysegrønn,"Moderne, lys og gjennomgående 2(3)-roms topp- og endeleilighet. Balkong på 6m². 5. etasje. Fantastisk utsikt!",Aktiv Grünerløkka,1,1,0,0,0,0,0,Oslo,68,Aktive,9.0,0,1,0
"Rosenlundgata 6 A, 0474 Oslo",3700000,69599,19520,3700000,2907.0,Aksje,1,43.0,43.0,1,1932,D - rød,Attraktiv og lys 2-roms med åpen stue- og kjøkkenløsning. Sentral beliggenhet. Perfekt førsteganskjøp. Varmtvann inkl.,Aktiv Grünerløkka,0,0,0,0,0,0,0,Oslo,89,Aktive,15.0,1,0,0
"Låbyveien 47B, 1781 Halden",1670000,472637,8032,1670000,6863.0,Andel,2,75.0,85.0,4,1963,G - mørkegrønn,"Stor, lys hjørneleilighet med herlig innglasset veranda. Sol hele dagen! Velkommen til Låbyveien 47B",Aktiv Halden,0,0,0,0,0,0,0,Halden,58,Aktive,3.0,0,1,0
"Skappels gate 1 B, 2317 Hamar",2990000,567274,8032,2990000,6167.0,Andel,2,60.0,60.0,5,1957,G - mørkegrønn,Rålekker 3-roms leilighet i toppetasjen med fantastisk mjøsutsikt. Nytt bad og kjøkken. Bør oppleves.,Aktiv Hamar,0,1,0,0,0,0,0,Hamar,64,Aktive,3.0,0,1,0
"Bruvegen 5A, 2312 Ottestad",2750000,8032,0,2758032,33.46666666666667,Andel,2,67.0,70.0,1,2005,E - oransje,Pen 3-roms leilighet i 4.mannsbolig i Sandvika. Utsikt mot Mjøsa. Garasjeplass.,Aktiv Hamar,0,1,1,0,0,0,0,Ottestad,16,Aktive,11.0,0,1,0
"Morkvegen 34, 2080 Eidsvoll",2810000,26297,82442,2810000,5363.0,Selveier,2,89.0,89.0,1,2010,D - mørkegrønn,"Stor 3-roms selveier med to balkonger - seniorbolig 50+ og fantastiske fasiliteter i sameiet som spa, fellesstue, m.m.",Aktiv Jessheim,1,0,0,0,0,0,0,Eidsvoll,11,Aktive,17.0,0,0,1
"Tellusvegen 12C, 2165 Hvam",2990000,18756,86742,2990000,2600.0,Selveier,2,67.0,70.0,1,2013,G - lysegrønn,"Stor og fin 3-roms eierleilighet med solrik terrasse og hage. Carport. Gangavstand til butikker, barnehage og skole!",Aktiv Kløfta,0,0,0,0,0,0,0,Hvam,8,Aktive,4.0,0,0,1
"Aage Håkonsens vei 4B, 3610 Kongsberg",1700000,396818,15526,1700000,5995.0,Andel,2,66.0,69.0,1,2004,C - oransje,Flott 3-roms med hage og gode solforhold - Garasje i felles garasjerekke,Aktiv Kongsberg,0,0,1,0,0,0,0,Kongsberg,17,Aktive,21.0,0,1,0
"Kongens gate 14, 3611 Kongsberg",3000000,86542,0,3086542,325.0,Selveier,2,63.0,66.0,4,2001,D - rød,Pen 3-roms endeleilighet i 4. etasje midt i Kongsberg sentrum - Gangavstand til alle byens fasiliteter,Aktiv Kongsberg,0,0,0,0,0,1,0,Kongsberg,20,Aktive,15.0,0,0,1
"Eventyrstien 21, 2212 Kongsvinger",1800000,313673,8032,1800000,5327.0,Andel,3,92.0,92.0,0,1986,F - gul,Flott 4-roms leilighet med trinnfri adkomst.,Aktiv Kongsvinger,0,0,0,0,0,0,0,Kongsvinger,35,Aktive,10.0,0,1,0
"Øvregaten 7, 5003 Bergen",3490000,98792,0,3588792,657.8333333333334,Selveier,2,49.0,49.0,2,1900,E - gul,Meget attraktiv og moderne 3-roms eierleilighet midt i Bergen sentrum. Gjennomgående høy standard. Må sees !!,Aktiv Laguneparken,0,0,0,0,0,1,0,Bergen,121,Aktive,14.0,0,0,1
"Brurasteinane 1C, 5360 Kolltveit",3200000,91542,0,3291542,844.5833333333334,Selveier,2,65.0,65.0,2,2017,E - gul,Flott 3-roms leilighet fra 2017 med god beliggenhet på Kolltveit. Solrikt og barnevennlig boligområde. Parkeringsplass.,Aktiv Laguneparken,0,0,0,0,1,0,0,Kolltveit,4,Aktive,14.0,0,0,1
"Rødberglia 15a, 3267 Larvik",1470000,336516,8032,1470000,4883.0,Andel,1,48.0,57.0,1,1985,G - rød,Rødberg- fin 2 roms andelsleilighet med flott uteplass. Nærhet til sjø og strand.,Aktiv Larvik,0,0,0,0,0,0,0,Larvik,36,Aktive,1.0,0,1,0
"Kjerulfs gate 37D, 2000 Lillestrøm",3790000,106292,0,3896292,442.8833333333334,Selveier,2,69.0,69.0,3,1962,F - mørkegrønn,"Gjennomgående, luftig og dels oppgradert 3-roms selveier - Lun balkong - Egen p-plass - Fyring og varmtvann inkludert.",Aktiv Lillestrøm,1,0,0,0,0,0,0,Lillestrøm,59,Aktive,8.0,0,0,1
"Høybråtenveien 13B, 1055 Oslo",4190000,5088,116412,4190000,4290.0,Selveier,2,79.0,85.0,1,1978,D - rød,"Attraktivt beliggende 3-roms selveier i ende med romslig uteplass, vid utsikt og parkering. Rolig og barnevennlig.",Aktiv Lørenskog,0,1,0,0,1,0,0,Oslo,43,Aktive,15.0,0,0,1
"Vetlandsveien 61A, 0685 Oslo",3590000,30900,15526,3590000,3597.0,Andel,1,56.0,56.0,4,1959,G - mørkegrønn,"Lys og moderne 2-roms med solrik, vestvendt balkong. Kort vei til alt! V.vann og fyring inkl.",Aktiv Lørenskog,1,0,0,0,0,0,0,Oslo,62,Aktive,3.0,0,1,0
"Søster Mathildes gate 1, 1461 Lørenskog",2600000,64459,8032,2600000,2376.0,Andel,1,34.0,34.0,1,2005,D - rød,"Lys og moderne 2-roms fra 2005. Perfekt førstegangskjøp! Sentralt, rett ved Triaden kjøpesenter og ca. 15 min fra Oslo!",Aktiv Lørenskog,0,0,0,0,0,1,0,Lørenskog,16,Aktive,15.0,0,1,0
"Dronningens gate 57, 8514 Narvik",1360000,350818,8032,1360000,5635.0,Andel,1,50.0,50.0,2,1968,G - rød,Andelsleilighet beliggende sentralt i Narvik med 1 soverom og balkong.,Aktiv Narvik,1,0,0,0,0,1,0,Narvik,53,Aktive,1.0,0,1,0
"Fosseveien 5, 8515 Narvik",1300000,564391,8032,1300000,6128.0,Andel,2,69.0,76.0,3,1968,F - rød,NY PRIS! Andelslelighet med to soverom og innglasset balkong. VISNING MANDAG 28.06 ETTER PÅMELDING,Aktiv Narvik,1,0,0,0,0,0,0,Narvik,53,Aktive,6.0,0,1,0
"Fjordgata 1 B, 7300 Orkanger",1650000,137000,8032,1650000,3793.0,Andel,1,41.0,41.0,1,2002,E - oransje,Praktisk leilighet i et lite og koselig borettslag på vakre Nerøra. Garasje. Pent boligtun.,Aktiv Orkla,0,0,1,0,0,0,0,Orkanger,19,Aktive,11.0,0,1,0
"Nils Paulsens veg 31E, 2072 Dal",2600000,76542,0,2676542,965.6666666666666,Selveier,2,66.0,71.0,2,2004,F - mørkegrønn,"Dal: Trivelig endeleilighet i 2. etg med sentral beliggenhet - 2 soverom - parkering - kort vei til bhg, skole og tog!",Aktiv Råholt,0,0,0,0,1,0,0,Dal,17,Aktive,8.0,0,0,1
"Ovenbakken 14B, 1361 Østerås",5000000,47323,1132,5000000,4113.0,Andel,3,90.0,90.0,3,1968,G - rød,"Gjennomgående 4-roms toppleilighet med vestvendt balkong. Garasje. Moderniseringsbehov. Nær t-bane, marka og senter.",Aktiv St.Hanshaugen/Bislett,1,0,1,0,0,0,1,Østerås,53,Aktive,1.0,0,1,0
"Waldemar Thranes gate 26, 0171 Oslo",6800000,322,181542,6800000,2919.0,Selveier,3,68.0,68.0,5,1894,G - rød,Råflott lys 4-roms loftsleilighet fra 2013 - god takhøyde - solrik takterrasse. 87m² gulvareal. Mulighet for hybelutleie,Aktiv St.Hanshaugen/Bislett,0,0,0,0,0,0,0,Oslo,127,Aktive,1.0,0,0,1
"Siriskjeret 2, H0505, 4014 Stavanger",2490000,19000,73792,2490000,2452.0,Selveier,2,41.0,44.0,5,2007,F - oransje,SIRISKJERET | Lys og lekker selveierleilighet | 2 sov | Arealeffektiv og unik planløsning | Parkering | Balkong,Aktiv Stavanger,1,0,0,0,1,0,0,Stavanger,14,Aktive,7.0,0,0,1
"Dronningåsen 73, H0402, 4032 Stavanger",5130000,139792,0,5269792,692.75,Selveier,2,79.0,89.0,4,2003,E - mørkegrønn,"Topp -og endeleilighet m/formidabel utsikt & solforhold. Oppusset overflater, hagestue, parkering m/ladestasjon.",Aktiv Stavanger,0,1,0,0,1,0,0,Stavanger,18,Aktive,12.0,0,0,1
"Luftå 27, H0304, 4322 Sandnes",2590000,76292,0,2666292,317.8833333333333,Selveier,2,65.0,69.0,3,2013,F - mørkegrønn,Ganddal - Lys og lekker selveierleilighet - 2 soverom - Parkering i garasjeanlegg - Terrasse med ettermiddagsol,Aktiv Stavanger,0,0,1,0,1,0,0,Sandnes,8,Aktive,8.0,0,0,1
"Lundavegen 135, 5690 Lundegrend",900000,34042,0,934042,965.3333333333334,Selveier,1,45.0,45.0,2,1989,D - oransje,Kjekk 2-roms leilegheit med god planløysing og kjekk plassering | Ta kontakt for visning,Aktiv Sunnhordland AS,0,0,0,0,0,0,0,Lundegrend,32,Aktive,16.0,0,0,1
"Rastastubben 4, 1476 Rasta",2950000,68000,86992,2950000,3090.0,Selveier,1,57.0,57.0,3,1989,E - oransje,Meget pen og tidsriktig eiet 2-roms - Kjøkken med alle hvitevarer - Stor solrik balkong 14 kvm. - Garasje med el. lader,Aktiv Torshov,1,0,1,0,0,0,0,Rasta,32,Aktive,11.0,0,0,1
"Lørenveien 59A, 0585 Oslo",4450000,124542,0,4574542,518.9250000000001,Selveier,2,44.0,44.0,8,2018,C - mørkegrønn,"3-roms i 8. etasje på Løren: Stor balkong! Arealsmart planløsning. Bygg fra 2018, med heis. Ypperlig førstegangskjøp!",Aktiv Torshov,1,0,0,1,0,0,0,Oslo,3,Aktive,22.0,0,0,1
"Kongens gate 34A, 6002 Ålesund",2090000,63792,0,2153792,265.8,Selveier,1,51.0,55.0,3,1918,G - mørkegrønn,Tiltalende og flott 2-roms selveierleilighet oppusset i 2007. Praktisk planløsning | sentralt | heis,Aktiv Ålesund,0,0,0,1,0,1,0,Ålesund,103,Aktive,3.0,0,0,1
"Dr. Dedichens vei 118, 0675 Oslo",3500000,126000,15526,3500000,4789.0,Andel,3,80.0,80.0,4,1972,F - rød,Pen 4-roms leilighet | Garasjeplass | Kort til off.komm. | Barnevennlig | Nær marka,Aktiv Østensjø/Lambertseter,0,0,1,0,0,0,0,Oslo,49,Aktive,6.0,0,1,0
"Skøyenåsveien 13, 0686 Oslo",3290000,41000,15526,3290000,2414.0,Andel,1,44.0,44.0,0,1954,G - lysegrønn,Meget pen og romslig 1 roms hjørneleilighet med stor alkove - Flott balkong på hele 9 m² med utsikt og gode solforhold,Aktiv Østensjø/Lambertseter,1,1,0,0,0,0,0,Oslo,67,Aktive,4.0,0,1,0
"Klipevegen 23, 6230 Sykkylven",2450000,73070,0,2523070,765.5833333333334,Selveier,2,75.0,75.0,1,2006,G - gul,"3-roms selveierleilighet med god standard, garasjeplass og nydelig utsikt!",Aursnes & Partners Eiendomsmegling,0,1,1,0,0,0,0,Sykkylven,15,Aursnes & Partners,5.0,0,0,1
"Skåtaberget 27D, 6010 Ålesund",2050000,60242,0,2110242,251.00833333333333,Selveier,1,47.0,52.0,2,2001,E - rød,Pen 2-roms selveierleilighet i populært boligområde - Flott utsikt og meget gode solforhold - Garasje,Aursnes & Partners Eiendomsmegling Ålesund AS,0,1,1,0,0,0,0,Ålesund,20,Aursnes & Partners,10.0,0,0,1
"Slemdalsgata 10D, 3717 Skien",1890000,55492,0,1945492,231.21666666666667,Selveier,2,60.0,62.0,2,1992,F - oransje,Lys og tiltalende selveierleilighet med 2 soverom - Vestvendt veranda med gode solforhold - Sentral beliggenhet,BEST EIENDOMSMEGLER AS,0,0,0,0,0,0,0,Skien,29,EIE Eiendomsmegling,7.0,0,0,1
"Asperudtoppen 11, 1258 Oslo",3980000,318437,1168,3980000,5156.0,Andel,4,99.0,102.0,1,1981,G - mørkegrønn,"HOLMLIA: Gjennomgående, lys og romslig 4(5)-roms leilighet - Markterrasse & hage - Oppussingsobjekt - Trappefri adkomst.",BOA Eiendomsmegling Oslo Vest AS,0,0,0,0,0,0,0,Oslo,40,BOA Eiendomsmegling,3.0,0,1,0
"Storgaten 3, 3. etasje, 3126 Tønsberg",2190000,65270,0,2255270,271.9583333333333,Selveier,1,43.0,43.0,3,1894,G - rød,SENTRUM - Utrolig koselig loftsleilighet med pent kjøkken! - Kort vei til alt - Perfekt førstegangskjøp eller utleie!,Bakke Sørvik & Partners,0,0,0,0,0,1,0,Tønsberg,127,Bakke Sørvik & Partners,1.0,0,0,1
"Emil Korsmos vei 20, 0678 Oslo",3500000,263221,8662,3500000,3700.0,Andel,1,52.0,52.0,4,1958,F - rød,"MANGLERUD/HØYENHALL: Attraktiv 2-roms med balkong på ca. 7kvm. Baderom oppusset 2021. Tilbaketrukket, men sentralt!",Boa Eiendomsmegling Oslo Øst,1,0,0,0,0,1,0,Oslo,63,BOA Eiendomsmegling,6.0,0,1,0
"Nordstrandveien 32 C, 1163 Oslo",7950000,207528,0,8157528,864.6999999999999,Selveier,2,90.0,90.0,2,1923,D - gul,"NORDSTRAND: Klassisk, lys og luftig 3-roms leilighet med 5kvm terrasse. Oppusset 2014/2019. Parkeringsplass m/el.",Boa Eiendomsmegling Oslo Øst,0,0,0,0,1,0,0,Oslo,98,BOA Eiendomsmegling,19.0,0,0,1
"Ivar Aasens veg 2, 7804 Namsos",1690000,151912,5032,1690000,4150.0,Andel,2,63.0,67.0,0,1953,G - gul,Bjørum - Andelsleilighet i horisontaldelt tomannsbolig. 2.etasje med solrik balkong. Moderne og tiltalende stil.,Boli Eiendomsmegling AS,1,0,0,0,0,0,0,Namsos,68,Boli Eiendomsmegling AS,5.0,0,1,0
"Finn Christiansens veg 11D, 7804 Namsos",850000,27500,29762,850000,500.0,Selveier,2,41.0,43.0,0,1925,G - rød,"Namsos, 2-roms selveierleilighet i 2. etg. med gangavstand til Nord universitetet, sykehuset og sentrum.",Boli Eiendomsmegling AS,0,0,0,0,0,1,0,Namsos,96,Boli Eiendomsmegling AS,1.0,0,0,1
"Rustabakken 9, 4027 Stavanger",750000,2152500,1168,750000,4407.0,Andel,1,59.0,59.0,0,2014,C - mørkegrønn,"Tasta / Stavanger, 2-roms andelsleilighet med garasjeplass, balkong og heis",Codex Advokat Oslo AS,1,0,1,1,0,0,0,Stavanger,7,Codex Advokat Oslo AS,22.0,0,1,0
"Sognaveien 10B toppleilighet (6. etg), 3404 Lier",5500000,3308,0,5500000,408.3333333333333,Selveier,3,129.0,133.0,0,2018,B - rød,LIER - Ny lekker 4-roms toppleilighet i moderne terrassehus - fantastisk utsikt mot Drammensfjorden og Lierdalen,Dialog Eiendomsmegling AS avd Drammen,0,1,0,0,0,0,1,Lier,3,Dialog Eiendomsmegling AS avd Drammen,26.0,0,0,1
"Danvikgata 20 A, 3045 Drammen",2190000,670416,6900,2190000,4940.0,Aksje,1,39.0,41.0,3,1969,E - rød,STRØMSØ / NYBYEN - Pen 2-roms leilighet med fin utsikt og romslig balkong - ingen gjenboere - heis - gåavstand til alt,Dialog Eiendomsmegling AS avd Drammen,1,1,0,1,0,0,0,Drammen,52,Dialog Eiendomsmegling AS avd Drammen,10.0,1,0,0
"Tors vei 40A, 3040 Drammen",1690000,31820,8110,1690000,1750.0,Andel,3,31.0,31.0,0,1973,E - rød,Lys og trivelig 1-roms leilighet i Tors vei med flott utsikt mot fjorden - Rolig og barnevennlig område - Nær marka,Dialog Eiendomsmegling AS avd Drammen,0,1,0,0,0,0,0,Drammen,48,Dialog Eiendomsmegling AS avd Drammen,10.0,0,1,0
"Michael Berentsens gate 4, 4014 Stavanger",3500000,96520,0,3596520,402.1666666666667,Selveier,2,89.0,89.0,0,1919,G - rød,Attraktiv leilighet over to plan - Renovert i 2015 - PÅMELDINGSVISNING,EIE eiendomsmegling - Espen Eide & Partnere AS,0,0,0,0,0,0,0,Stavanger,102,EIE Eiendomsmegling,1.0,0,0,1
"Stokkaveien 21, 4024 Stavanger",3450000,100890,0,3550890,537.0,Selveier,2,62.0,62.0,1,2010,D - rød,"Nydelig 3-roms selveierleilighet med romslig, skjermet og solrik uteplass - Parkering i anlegg - Felles takterrasse",EIE eiendomsmegling - Rogaland Eiendomsmegling AS,0,0,0,0,1,0,0,Stavanger,11,EIE Eiendomsmegling,15.0,0,0,1
"Blakstadmarka 26, 1386 Asker",3450000,95270,0,3545270,396.9583333333333,Selveier,2,51.0,53.0,1,2019,D - mørkegrønn,"Innbydende, lys 3-roms med 17 kvm terrasse - Garasje - Bal. ventilasjon/vannbåren gulvvarme - Fyring inkl. i felleskost.",EIE eiendomsmegling Asker,0,0,1,0,0,0,0,Asker,2,EIE Eiendomsmegling,17.0,0,0,1
"Rødsgrenda 26, 1389 Heggedal",4790000,34153,129640,4790000,3326.0,Selveier,3,105.0,111.0,2,2011,B - rød,Lys og fin 4-roms endeleilighet i naturskjønne omgivelser. Vestvendt og solrik balkong. Carport med lader. Barnevennlig.,EIE eiendomsmegling Asker,1,0,0,0,0,0,0,Heggedal,10,EIE Eiendomsmegling,26.0,0,0,1
"Trevaren 3, 1389 Heggedal",4999000,133990,0,5132990,558.2916666666666,Selveier,2,76.0,79.0,2,2020,B - mørkegrønn,"Ny 3-roms leilighet med to bad, høy standard, og stor solrik terrasse. Tre min. til tog/ buss.",EIE eiendomsmegling Asker,0,0,0,0,0,0,0,Heggedal,1,EIE Eiendomsmegling,28.0,0,0,1
"Sanddalsvegen 9B, 5221 Nesttun",4490000,121270,0,4611270,780.6666666666666,Selveier,1,82.0,85.0,3,2013,C - rød,"Nesttun | Strøken leilighet i bygg fra 2013. Fast garasjeplass, 2 bad, peis, balkong på 10 kvm og Selvaag pluss konsept!",EIE eiendomsmegling Bergen,1,0,1,0,0,0,0,Nesttun,8,EIE Eiendomsmegling,20.0,0,0,1
"Ture Nermans vei 45, 5143 Fyllingsdalen",2450000,523900,15354,2450000,6096.0,Andel,2,74.0,74.0,10,1963,F - rød,"Fyllingsdalen | Lekker leilighet i 10. etasje med vestvendt balkong, fantastisk utsikt og gode solforhold!",EIE eiendomsmegling Bergen Vest,1,1,0,0,0,0,0,Fyllingsdalen,58,EIE Eiendomsmegling,6.0,0,1,0
"Florvågbakken 43, 5305 Florvåg",2080000,61020,0,2141020,1266.25,Selveier,2,64.0,85.0,2,1957,G - gul,Florvåg | Lys og fin 3-roms leilighet med egen altan. Kort vei til skoler og barnehage.,EIE eiendomsmegling Bergen Vest,0,0,0,0,0,0,0,Florvåg,64,EIE Eiendomsmegling,5.0,0,0,1
"Helleveien 128, 5039 Bergen",2990000,83770,0,3073770,511.0,Selveier,1,51.0,51.0,4,1953,G - oransje,"Strøken 2-roms, nyoppusset i 2021. Nytt kjøkken, helsparklet, fiskebensparkett. Felles hage og parkering, like ved NHH.",EIE eiendomsmegling Bergen Vest,0,0,0,0,1,0,0,Bergen,68,EIE Eiendomsmegling,2.0,0,0,1
"Bjørgelien 11A, 5141 Fyllingsdalen",3990000,108770,0,4098770,618.5833333333334,Selveier,3,81.0,81.0,1,2017,C - rød,Fyllingsdalen | Strøken 4-roms leilighet med moderne kvaliteter. Sentral beliggenhet i barnevennlige omgivelser.,EIE eiendomsmegling Bergen Vest,0,0,0,0,0,0,0,Fyllingsdalen,4,EIE Eiendomsmegling,20.0,0,0,1
"Lyngfaret 70A, 5172 Loddefjord",2090000,412000,8010,2090000,5135.0,Andel,1,54.0,57.0,1,1974,F - gul,"Bergen Vest | Strøken 2-roms med vestvendt terrasse. Bad, rør og gulv fra 19/21. Garasje. Varmtvann inkl. felles kost",EIE eiendomsmegling Bergen Vest,0,0,1,0,0,0,0,Loddefjord,47,EIE Eiendomsmegling,10.0,0,1,0
"Paal Bergs vei 44, 1348 Rykkinn",3800000,95925,8010,3800000,3286.0,Andel,2,69.0,69.0,2,1970,G - rød,Moderne og attraktiv 3-roms leilighet med veranda- Bad fra 2016 - Innbydende kjøkken - Garasje - Sentralt område.,EIE eiendomsmegling Bærum,0,0,1,0,0,1,0,Rykkinn,51,EIE Eiendomsmegling,1.0,0,1,0
"Karl Staaffs vei 7, 0665 Oslo",3650000,217855,8010,3650000,4087.0,Andel,2,68.0,75.0,4,1954,G - mørkegrønn,"3-roms med flott intern beliggenhet - Vestvendt, innglasset balkong - Mulighet for garasje - Ingen forkjøpsrett",EIE eiendomsmegling Ensjø,1,0,1,0,0,0,0,Oslo,67,EIE Eiendomsmegling,3.0,0,1,0
"Holbergs gate 11b, 0166 Oslo",3490000,126000,99420,3490000,3364.0,Selveier,1,36.0,36.0,0,1892,G - rød,"BISLETT | Fresh & fin 2-roms med sentral beliggenhet ved OsloMET i skjermet bakgård. Vinduer, gulv & overflater fra 2021",EIE eiendomsmegling Frogner,0,0,0,0,0,0,0,Oslo,129,EIE Eiendomsmegling,1.0,0,0,1
"Smedgata 41B, 0651 Oslo",2990000,55553,8010,2990000,1492.0,Andel,1,29.0,29.0,0,1892,G - rød,Lekker og arealeffektiv 1-roms med attraktiv og sentral beliggenhet med kort vei til ''alt''. Supert førstegangskjøp!,EIE eiendomsmegling Frogner,0,0,0,0,0,0,0,Oslo,129,EIE Eiendomsmegling,1.0,0,1,0
"Landgangen 3, 0252 Oslo",5890000,156270,0,6046270,651.125,Selveier,1,41.0,45.0,6,2012,D - mørkegrønn,"TJUVHOLMEN | Fantastisk flott 2-roms på Holmen med god standard, heis, balkong og herlig sjøutsikt! Felles takterrasse!",EIE eiendomsmegling Frogner,1,1,0,1,0,0,0,Oslo,9,EIE Eiendomsmegling,17.0,0,0,1
"Torggata 133B, 2317 Hamar",7490000,12965,0,7502965,54.020833333333336,Andel,4,135.0,135.0,4,2008,D - mørkegrønn,HAMAR - Svært innbydende 5-roms hjørneleilighet med flere uteplasser. Heis og garasjeplass.,EIE eiendomsmegling Hamar,0,0,1,1,0,0,0,Hamar,13,EIE Eiendomsmegling,17.0,0,1,0
