Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fasiliteter,Beskrivelse,Eiendomsmegler
"Lørenveien 64 A, 0585 Oslo",3 000 000 kr,2 160 000 kr,9 126 kr,5 169 126 kr,5 169 126 kr,Leilighet,Andel,2,61 m²,61 m²,1,2018,C - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""adcc62d1-752b-47e3-a99a-eadb6197c465"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""49af2db5-3bf5-4567-ad80-0a022370784f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2ac49fb9-bea9-4867-943a-afc1803e4fec"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""21100bd3-aca9-4313-9959-db989ebe4855"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""db818335-9934-40b4-b908-379d2d22b3af"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c4d21cd2-e2cd-4284-a050-cf2e79ab5181"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""10b84de5-92d3-438d-9b2a-0cc2e2997755"")>]",Bør sees! - Lys og lekker 3-roms fra 2018 med stor terrasse og hagedel - God intern beliggenhet - Ingen dok. avg.,Krogsveen avd. Løren
"Bygdøy allé 55, 0265 Oslo",7 400 000 kr,75 597 kr,188 212 kr,7 663 809 kr,7 663 809 kr,Leilighet,Eier (Selveier),2,79 m²,79 m²,2,1900,G - oransje,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""75908677-a27c-47b6-bf08-a986aecf0ab8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e79d6e85-215d-43cf-83a4-ad81baf7b003"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""9987a793-78f2-40dd-b518-ad20ca345cf9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""88ce1b93-407e-4c1b-8ec9-efb542ce2d38"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d971a53d-af4e-438d-b46a-83029e7e03e6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8f197d26-0c0e-4468-aa2b-60a05bc38caa"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5839638c-2c11-4a03-89a7-05ac74b05c67"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d0f71d11-e945-47a1-b788-6fc541bf0683"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""832d2c9c-a411-42ae-b5cb-933d5ea2c808"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c6576277-756e-401d-9b74-8d0471d1e264"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""67aa3c2f-db4f-448a-8e0b-42139e70efe8"")>]",Strøken og vakker 3-roms selveier - Omfattende pusset opp 2013-2020 - Stukkatur/Rosett - Felles takterrasse og heis,-1
"Ullagerveien 13, 0585 Oslo",4 300 000 kr,1 211 kr,119 062 kr,4 420 273 kr,4 420 273 kr,Leilighet,Eier (Selveier),1,41 m²,44 m²,6,2017,C - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cee4346e-9d18-4a94-8d27-661f6d2732a7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b50743f2-3a63-4b3d-a9d7-56142fab6bb4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d2aa328f-54eb-4318-a189-435283f5a78c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""23b5056a-3161-45d7-beb9-479b3b7a32b8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""dfadc131-ce26-429e-8c6e-715d22a4a8e8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b95a813c-998d-47e4-84e6-06358d9e0c67"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4fe9ed25-bec8-4dc8-8731-c284b52acc69"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6e132598-254c-470c-92dd-1c762c526836"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d4a939d0-8b71-4205-96b7-dae3295e9bc8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5e5573da-0984-4f73-8912-f2a3e1ffab65"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""af66565a-2382-4da6-bae5-46839babf471"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""964fe25f-3e10-4b72-bfbb-d2fec43fb056"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""49f42212-6000-4971-9c23-60fa4a19078b"")>]","Lekker 2-roms toppleilighet fra 2017 - 10 kvm solrik, sydvestvendt balkong - Heis - Lave felleskost - Fjernvarme",Aktiv Torshov
"Langes gate 4, 0165 Oslo",3 490 000 kr,88 000 kr,8 032 kr,3 586 032 kr,3 586 032 kr,Leilighet,Andel,1,36 m²,36 m²,3,1897,G - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""836dcf8a-9447-4da6-ab0d-204bf5b85791"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b85d60dd-bc7b-4021-a65a-f3e672a2eccd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6d1df3ef-affb-4ede-a582-f7350f98e2a8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""fb6fcc5d-9fc7-45cd-a22d-4a0a19eeea20"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""febd9bec-7d09-4bec-9716-58fe7365863a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1b567404-8ef0-4d09-8d20-18efac7c32d3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a451f095-9c0a-4eb0-8c2f-dbcb6fd99217"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cf5b5ea3-4742-4c6a-90fb-ba4c93002d48"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""56b2e520-c3d0-4cdf-87a5-bb54aa37801c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""87f90190-75a2-4212-af99-5581db1aa2cf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""63f09a01-bafd-4065-bbdd-2497a2744d18"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5bb26d12-ac5b-4e74-827b-51643d2590f9"")>]","Attraktiv, lys og praktisk 2- roms i stille og rolige omgivelser/Perfekt førstegangskjøp/Takhøyde på 2,8m/Ingen dok. avg",Nordvik St.Hanshaugen
"Bygdøynesveien 12 A, 0286 Oslo",54 000 000 kr,-1,-1,-1,-1,Enebolig,Eier (Selveier),3,354 m²,1447 m² (eiet),401 m²,-1,-1,-1,"Prosjektert villa utenom det vanlige. Eksklusivt, gjennomtenkt og kontinentalt.",Sem & Johnsen
"Underhaugsveien 11B, 0354 Oslo",7 290 000 kr,17 000 kr,191 690 kr,7 498 690 kr,7 498 690 kr,Leilighet,Eier (Selveier),2,78 m²,78 m²,2,1939,F - oransje,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""28d7fca2-5151-47bf-8eb2-e053892ded28"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5c1b1bdc-5b22-4054-a47c-1668d87bb58f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""13efaf60-99b5-4653-b905-47dc7152dcd4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""79eb44b3-36d6-419a-92f6-941b3d600fed"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""60cdc0cc-1738-49bb-83ae-a5c219634061"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""13f4cbc6-1fec-4c9f-9326-4899bd41d27b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b39c2e58-27c9-4a59-9e5a-036cd99faf46"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""764a0f2b-5ad1-42d1-9dfb-7c3ff4feddf6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""9620e44e-7810-4f5c-925b-e3107b9af2e9"")>]",Majorstuen | Stor 3-roms selveierleilighet med skjermet og attraktiv beliggenhet - Heis - Balkong - Fyring og vv. inkl.,EIE eiendomsmegling Frogner
"Trondheimsveien 139B, 0570 Oslo",6 250 000 kr,165 270 kr,6 415 270 kr,4 329 kr,4 329 kr,Leilighet,Eier (Selveier),2,87 m²,92 m²,5,1938,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a3f20762-4370-455c-8b6b-753d08757195"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""fb6f57ba-d99e-4f6d-a4d1-e513eb644e5b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""80f5466c-5677-4c15-a8a1-1f8023334baf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ab33faaf-589f-4765-a747-e5af4115058e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3ffebb39-e4a4-49be-8413-54121be326d0"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""57424af6-2dfb-42be-9811-76d6f2f90720"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7a9525de-a26c-4d22-8239-aef541d5633c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""bb418965-6ade-4228-b17c-7bf71adbc990"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""9527ffde-8532-442f-8295-45aad193d72a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0755ad97-fbb1-4293-9607-603c69e60202"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1547cbdf-8933-47b8-80c4-711d6ce591cf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0fe756b6-7a9a-422b-8541-b34cc9abe279"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""22ab4289-5a70-4e88-b9e6-fe2d04136ebf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c80ac95b-f3e0-4582-8e61-9e291606f7de"")>]",Unik og kul fabrikkleilighet med X-faktor - Åpen og sosial planløsning - Takterrasse med RÅ utsikt - Heis - Garasjeleie.,EIE eiendomsmegling Veitvet
"Gaustadveien 17A, 0372 Oslo",3 190 000 kr,92 000 kr,15 526 kr,3 297 526 kr,3 297 526 kr,Leilighet,Andel,0,26 m²,34 m²,3,1955,E - oransje,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ec7b2126-cbbc-419d-9adb-1d88546963b3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3aacaab7-f616-4b23-ab32-e02f7b115984"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f4264688-a360-49fd-a329-6b533770c454"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2b57b0c4-1394-438e-b7b8-2818f07ee90c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2f0a7612-4a59-43a9-ae79-df954ff899ad"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""322f7cf5-1258-4087-b7d5-e018d65ffff7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3604e1fe-811f-40c3-9e99-3f0cba08d9e3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""85db2eee-a242-4670-a814-eee57481dab4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d940f605-e343-41e1-8b8e-172423a4738b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c22a203c-a9c6-43ed-8cf8-a2fc446f7688"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""64095438-0095-4b48-a54d-61388e548617"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b8416fb7-3007-48a4-b164-0fef834ca5b9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""14f41352-3319-4f0c-aeec-83e510f39a02"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""73ae9dc4-364e-4137-b3b2-313a7de47bce"")>]","Tiltalende, arealeffektiv og lys toppleilighet med umiddelbar nærhet til marka -Solrik, vestv. balkong, 8 kvm -Vedkamin",Nordvik St.Hanshaugen
"Bentsebrugata 17A, 0476 Oslo",6 950 000 kr,176 292 kr,7 126 292 kr,1 853 kr,1 853 kr,Leilighet,Eier (Selveier),3,71 m²,71 m²,3,1959,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ffe7d07a-143f-44f5-9b67-f79ed0385805"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""585cb61b-b2c2-4e15-9dd8-d0c632d0f43b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7b319d04-32dc-4a04-b661-0348759b0747"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b71573e1-74e6-414b-9dc5-74453b7bba3e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a441eb73-7acb-4082-a529-2e51dbf4f1e6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2ebb43d7-383a-4d4f-af83-7b41310d70bf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c2ff1250-ad07-4f03-a3e5-3e05d08b5a48"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""30426fee-f1e2-41ac-ad14-608eaed8925e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4dbf868c-883a-4f9e-a501-a211875ce146"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""af35b2f6-504e-4b61-80f5-1389ea2c696e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""9f7efe04-15bd-4a2d-a416-81ec40dc1882"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""188ac3fe-25d0-4b5b-99d5-a82dd7e2b30d"")>]","Lekker 4-roms eierleilighet fra 2021 m/ heis, fransk balkong og solrik privat takterrasse på 18 kvm. Rett ved Akerselva.",-1
"Eilert Sundts gate 27, 0259 Oslo",4 990 000 kr,15 868 kr,134 762 kr,5 140 630 kr,5 140 630 kr,Leilighet,Eier (Selveier),2,44 m²,44 m²,4,1896,G - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b06f85ad-5121-48f0-a2c8-371aea060bbb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""26b21e12-7aa4-4404-85ed-757fc2d556a4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""abd9c94c-c510-44e5-80aa-704a5cf26f72"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4099d6ee-d7cb-40ca-be3d-96a8fa4caadf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""124efcd3-1f06-4a10-98a7-53d4a3164b7e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ca060bda-c3d8-4cb1-90ab-786b0da8ca09"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""04f7cac3-eef8-493f-a39e-70e58c1cec2a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4a5737b1-9c46-46ef-ad27-293b78267dbe"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""65c4eaa5-34f5-4e85-896c-69a769c6a958"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""de3952bc-fa3e-4e1c-8351-20209c730431"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""67d97ad6-b98a-4aea-9514-f1b9225262f1"")>]",Tiltalende og arealeffektiv 3R loftsleilighet i 4. etasje - Gulvareal på 58 kvm - Svært ettertraktet beliggenhet.,Nordvik Majorstuen
"Tåsen terrasse 4B, 0873 Oslo",15 000 000 kr,376 342 kr,15 376 342 kr,30 000 kr per år,30 000 kr per år,Enebolig,Eier (Selveier),4,181 m²,183 m²,3,1994,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b2435b0f-c75f-4cb9-8ba6-83cfb59a4ad9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b02063cb-bd59-4567-95b7-715f570d92e2"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d0244459-cd7b-4f50-8597-7dc303221916"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""89767054-9802-48eb-95c2-a3579278fa73"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c634fcf1-e521-4fd5-b1e8-b5fcb8eec2c3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""268150a6-8002-4432-b5a8-dd2fb29b564e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ee7abcd7-6938-47a7-8a4f-fabd503d4b20"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""44ddd9dd-d460-444d-81a5-2374a7671347"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3bd41c12-e68a-4442-bd03-320287433ed8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""90874944-db95-4ccc-bb3e-61d3b005a3a8"")>]",Fin og innholdsrik enebolig |Solrike uteplasser |Carport og garasje |Innredet hybel |Barnevennlig område |Nymalt garasje,-1
"Kurveien 9, 0495 Oslo",10 950 000 kr,1 784 kr,282 790 kr,11 234 574 kr,11 234 574 kr,Leilighet,Eier (Selveier),3,140 m²,140 m²,1,1987,F - oransje,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f63a1f51-eb74-4898-acc5-cb41b81f70b1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""969125fd-22e9-4a76-9c9e-2d6269613f98"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f547897d-12ea-452e-a1cc-8bf64a5c8f05"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8ad16489-7de8-480d-967e-416f281619fb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3c2fbcf9-1286-40be-802f-15d86c74a5c4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4c61c1bb-7c59-4ee8-95fc-9f4f219a83fb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""766a98ff-2426-417e-a8f4-69b3dd2c777e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cde6d689-c4d0-45e2-9151-7e6273113bdd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""70681e81-2828-4f67-95c6-a689e3d9a74f"")>]",Nyoppusset og lekker terrasseleilighet i attraktivt sameie | Vestvendt med gode sol- og utsiktsforhold | Garasjeplass,EIE eiendomsmegling Lillestrøm
"Lumanders Hage, Ensjøveien 10-12, hus A, trinn 1, 0655 Oslo",2 780 000 kr,-1,-1,-1,-1,65 - 80 m²,2 - 3,Leilighet,Andel,B - mørkegrønn,-1,-1,-1,-1,"Lumanders Hage. Lev enkelt, bilfritt og naturbant i hjertet av Ensjø. Salget er i gang!",OBOS BBL
"Vesteråsveien 36, 0382 Oslo",8 800 000 kr,151 254 kr,225 112 kr,9 176 366 kr,9 176 366 kr,Leilighet,Eier (Selveier),3,136 m²,136 m²,1977,E - rød,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6d401166-a453-4941-97aa-1c7060a395a0"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b4177d8e-0306-41f6-9c82-7d467dd188cd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""882a1aad-5fe2-404a-a429-e64a30c1b11c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""311f4e12-2db2-4502-a861-3e99afb10fef"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5998b673-1155-40e9-b609-45293246e4c7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7accc3d5-3578-4dbc-b883-272a1112a342"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c63cc350-b220-48c9-b100-d5dd348533a8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8ff30be4-ea2d-4925-b869-c86400b3d6d2"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f6d5ee89-668a-40aa-aaa3-fc98bb4c98b6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b0ad554d-e2ae-4e2b-94f0-beef88067fc9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c0f0052c-c7c2-4a26-a849-e9c9541b37ed"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""02afdec6-28e6-4724-8c27-c756d720e45f"")>]","Tiltalende 4-roms endeleilighet på toppen av Ullernåsen. Solrik terrasse, fantastisk utsikt og garasjeplass m/EL!",-1
