Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,balkong,utsikt,garasje,heis,parkering,hage,sentrum,toppleilighet,Alder,Energimerking_encoded,Aksje,Andel,Selveier
"Heimdalsgata 10 A, 0561 Oslo",2890000.0,0.0,1197340.0,4087340.0,9527.0,Leilighet,Andel,1,44.0,44,6,2005,C - mørkegrønn,Lys og praktisk leilighet i 6. etasje. Balkong med ettermiddags-/kveldssol. V.v. og fyring inkl. Heis.,Krogsveen,1,0,0,1,0,0,0,0,16,22.0,0,1,0
"Hagegata 46A, 0653 Oslo",3950000.0,236486.0,17550.0,4204036.0,4204036.0,Leilighet,Aksje,1,53.0,53,2,1916,F - oransje,Attraktiv og gjennomgående 2-roms | Stilrent kjøkken fra KVIK | Nytt bad 2019 | Arkitekttegnet og sosial bakgård,Schala & Partners,0,0,0,0,0,0,0,0,105,7.0,1,0,0
"Sorgenfrigata 19 B, 0365 Oslo",6590000.0,6668.0,166242.0,6762910.0,6762910.0,Leilighet,Selveier,2,81.0,81,4,1897,G - oransje,Lys og gjennomgående 4-roms loftsleilighet i flott bygård med fantastisk beliggenhet | Oppussingsobjekt | Peisovn |,Ukjent,0,0,0,0,0,0,0,0,124,2.0,0,0,1
"Hafrsfjordgata 10A, 0273 Oslo",3950000.0,131098.0,103362.0,4184460.0,4184460.0,Leilighet,Selveier,1,34.0,34,2,1929,F - rød,Lys og innbydende 2-roms selveier - Hjørneleilighet - Sentral og attraktiv beliggenhet i rolig strøk,Nordvik,0,0,0,0,0,0,0,0,92,6.0,0,0,1
"Freserveien 9, 0195 Oslo",4290000.0,2311000.0,8626.0,6609626.0,6609626.0,Leilighet,Andel,2,72.0,72,7,2018,C - mørkegrønn,Stilren og nyere (2018) 3-roms | Nybygg garanti | Solrik balkong på ca. 14 m² | Tilvalg | TG 1| Garasje | Flytt rett inn,Ukjent,1,0,1,0,0,0,0,0,3,22.0,0,1,0
"Bukken Bruses vei 6, 0851 Oslo",19500000.0,0.0,503170.0,20003170.0,1801.92,Tomannsbolig,Selveier,4,237.0,252,1,1954,D - gul,"Lekker 1/2 part av vertikaldelt tomannsbolig på 252 m2 BRA. Solrik, stor hage, flere terrasser. Hybel.",PrivatMegleren,0,0,0,0,0,1,0,0,67,19.0,0,0,1
"Havreveien 11, 0680 Oslo",3400000.0,106000.0,15554.0,3521554.0,3521554.0,Leilighet,Andel,1,49.0,58,7,1960,B - gul,"Pen, lys 2-roms m/vestvendt, innglasset balkong - fin utsikt - supre solforhold - Parkett og glatte, malte flater - Heis",Ukjent,1,1,0,1,0,0,0,0,61,29.0,0,1,0
"Parkveien 64, 0254 Oslo",3700000.0,0.0,93842.0,3793842.0,2714.0,Leilighet,Selveier,1,45.0,45,2,1938,F - mørkegrønn,Pen og arealeffektiv 2-roms i P64 | Heis | Takterrasse | Vender mot rolig bakgård,Ukjent,0,0,0,1,0,0,0,0,83,8.0,0,0,1
"Odvar Solbergs vei 40, 0970 Oslo",3100000.0,414000.0,8658.0,3522658.0,3522658.0,Leilighet,Andel,2,87.0,100,6,1972,G - rød,Lys og påkostet 3-roms leilighet beliggende på Romsås | Garasje |Innglasset balkong | Heis,Eiendomsmegler 1,1,0,1,1,0,0,0,0,49,1.0,0,1,0
"Frederik Glads gate 22C, 0482 Oslo",3950000.0,0.0,108392.0,4058392.0,3898.0,Leilighet,Selveier,2,50.0,51,1,1936,G - mørkegrønn,"Attraktiv og stilren 3-roms selveier. Varmtvann, fyring og kabel-tv inkl. Nyere bad og kjøkken (2015)",Nordvik,0,0,0,0,0,0,0,0,85,3.0,0,0,1
"Ullernveien 49, 0280 Oslo",7490000.0,0.0,201270.0,7691270.0,887.33,Rekkehus,Selveier,3,109.0,111,1,1961,F - oransje,Nyoppusset rekkehus over 3 plan | 3 soverom | 2 nye bad | 2 stuer | Garasje | Peis | 3 terrasser | Hageparsell,EIE eiendomsmegling,0,0,1,0,0,1,0,0,60,7.0,0,0,1
"Hellerud gårdsvei 14, 0671 Oslo",8500000.0,0.0,221519.0,8721519.0,3680.0,Leilighet,Selveier,2,99.0,99,3,1993,F - oransje,"Rålekker 3-roms toppleilighet I Totaloppusset 2020 I Nydelig utsikt I Sydvestvendt balkong på 13,5 kvm I Garasje m/lader",Schala & Partners,1,1,1,0,0,0,0,1,28,7.0,0,0,1
